Time (s),Mean DBP (mmHg),SD DBP (mmHg)
-1.200000000000000000e+02,5.980799876019344907e+01,1.013279502617040961e+01
-1.199000000000000057e+02,5.982687791822794310e+01,1.020992067141189530e+01
-1.197999999999999972e+02,5.984245041489289463e+01,1.030139467698902322e+01
-1.197000000000000028e+02,5.985974816203852100e+01,1.037224420268424829e+01
-1.195999999999999943e+02,5.985570534388079267e+01,1.040481587699901489e+01
-1.195000000000000000e+02,5.984338984921019033e+01,1.044421410890009838e+01
-1.194000000000000057e+02,5.982983278587659726e+01,1.049087909784657668e+01
-1.192999999999999972e+02,5.982402760279359910e+01,1.054198933791489701e+01
-1.192000000000000028e+02,5.981456545912189426e+01,1.059760245326370587e+01
-1.190999999999999943e+02,5.980546184402358278e+01,1.065306665019583399e+01
-1.190000000000000000e+02,5.978822673045697655e+01,1.066332580683969233e+01
-1.189000000000000057e+02,5.977614026024418337e+01,1.066105637835802789e+01
-1.187999999999999972e+02,5.979863010292385894e+01,1.060594319955038323e+01
-1.187000000000000028e+02,5.981812398466502145e+01,1.055330846189061234e+01
-1.185999999999999943e+02,5.982507087562784420e+01,1.049614758029776951e+01
-1.185000000000000000e+02,5.986543794609897162e+01,1.044152069055975396e+01
-1.184000000000000057e+02,5.996600620898062317e+01,1.039743232901786030e+01
-1.182999999999999972e+02,6.006753126029459366e+01,1.037273432631404724e+01
-1.182000000000000028e+02,6.015102437785765233e+01,1.031102986414077627e+01
-1.180999999999999943e+02,6.028210268375301695e+01,1.028324471096391868e+01
-1.180000000000000000e+02,6.039245005121752286e+01,1.030668824158437857e+01
-1.179000000000000057e+02,6.035330688431545809e+01,1.023430601406867169e+01
-1.177999999999999972e+02,6.024675453725804886e+01,1.014212448322029481e+01
-1.177000000000000028e+02,6.013576690808865521e+01,1.010206780112051383e+01
-1.175999999999999943e+02,6.002473302210980677e+01,1.010326360840742765e+01
-1.175000000000000000e+02,5.982450332535617576e+01,1.001571511203700737e+01
-1.174000000000000057e+02,5.961557785013244626e+01,9.955916685620390894e+00
-1.172999999999999972e+02,5.950856181927191102e+01,9.876117215608877231e+00
-1.172000000000000028e+02,5.944125280621596374e+01,9.831825981818152371e+00
-1.170999999999999943e+02,5.947175275114677362e+01,9.875377680120694279e+00
-1.170000000000000000e+02,5.954082929914716971e+01,1.000753436263579310e+01
-1.169000000000000057e+02,5.961037876618862441e+01,1.016345532201268753e+01
-1.167999999999999972e+02,5.967326876842376038e+01,1.034463865775925839e+01
-1.167000000000000028e+02,5.974605683786352728e+01,1.054456036101879235e+01
-1.165999999999999943e+02,5.980826675646265755e+01,1.073550677546452370e+01
-1.165000000000000000e+02,5.981115294335720733e+01,1.070694854382445982e+01
-1.164000000000000057e+02,5.977562310257224709e+01,1.067806290906587030e+01
-1.162999999999999972e+02,5.972614797901817951e+01,1.068213958898642701e+01
-1.162000000000000028e+02,5.967261633120077846e+01,1.069595362110565340e+01
-1.160999999999999943e+02,5.961980496713063360e+01,1.071732216657501446e+01
-1.160000000000000000e+02,5.957947151593288737e+01,1.076451246645160609e+01
-1.159000000000000057e+02,5.955422938227800245e+01,1.082346239049077674e+01
-1.157999999999999972e+02,5.956717101536075631e+01,1.085263771678060607e+01
-1.157000000000000028e+02,5.963549280115714168e+01,1.084821969452458390e+01
-1.155999999999999943e+02,5.970612349394563267e+01,1.083081993152095457e+01
-1.155000000000000000e+02,5.979401099355274596e+01,1.083210798735158775e+01
-1.154000000000000057e+02,5.989491189804791560e+01,1.085080240842463617e+01
-1.152999999999999972e+02,5.999537840885518136e+01,1.087812541554820633e+01
-1.152000000000000028e+02,6.009579636747422882e+01,1.091912506300275254e+01
-1.150999999999999943e+02,6.019877815098032414e+01,1.097345003650818285e+01
-1.150000000000000000e+02,6.026212568995280350e+01,1.095372361999883992e+01
-1.149000000000000057e+02,6.032029904642959650e+01,1.085203291216259913e+01
-1.147999999999999972e+02,6.038149509077081234e+01,1.077264343566407589e+01
-1.147000000000000028e+02,6.044209655298737260e+01,1.070616937263006285e+01
-1.145999999999999943e+02,6.049606794418374989e+01,1.065403225790201169e+01
-1.145000000000000000e+02,6.053805878549533048e+01,1.061801306095325970e+01
-1.144000000000000057e+02,6.061859236471330092e+01,1.075220728484147337e+01
-1.142999999999999972e+02,6.065920969079117953e+01,1.086430204750703687e+01
-1.142000000000000028e+02,6.070273825025205383e+01,1.097971995988505967e+01
-1.140999999999999943e+02,6.075751440798403280e+01,1.108963229425210351e+01
-1.140000000000000000e+02,6.080200739708225655e+01,1.119831876947136529e+01
-1.139000000000000057e+02,6.074362056676479682e+01,1.105019351669665717e+01
-1.137999999999999972e+02,6.066123809091738650e+01,1.088056580377571692e+01
-1.137000000000000028e+02,6.057708701191113221e+01,1.070994155208786580e+01
-1.135999999999999943e+02,6.048561696451781700e+01,1.054317696644818625e+01
-1.135000000000000000e+02,6.037574386898577217e+01,1.038430453278447807e+01
-1.134000000000000057e+02,6.030034498522232411e+01,1.029366152742593243e+01
-1.132999999999999972e+02,6.026706864737077041e+01,1.034082770959624220e+01
-1.132000000000000028e+02,6.026324963861578254e+01,1.040095792583106871e+01
-1.130999999999999943e+02,6.034082900640002833e+01,1.049288529687270355e+01
-1.130000000000000000e+02,6.041003708705003561e+01,1.059944101340246725e+01
-1.129000000000000057e+02,6.047636625679216849e+01,1.071718391456965946e+01
-1.127999999999999972e+02,6.051822161224176000e+01,1.079740447183064589e+01
-1.127000000000000028e+02,6.053786950757205432e+01,1.081555245216078198e+01
-1.125999999999999943e+02,6.048246221750559215e+01,1.072527864511263118e+01
-1.125000000000000000e+02,6.042330207967385292e+01,1.061536801088886861e+01
-1.124000000000000057e+02,6.039990786303222592e+01,1.051143500687667931e+01
-1.122999999999999972e+02,6.037588081741736801e+01,1.041767860980338334e+01
-1.122000000000000028e+02,6.037031999740440824e+01,1.036605739899168732e+01
