Time (s),Mean HR (bpm),SD HR (bpm)
-1.200000000000000000e+02,6.649613376308978729e+01,1.133575718444248004e+01
-1.199000000000000057e+02,6.649347407502965268e+01,1.132995791665881669e+01
-1.197999999999999972e+02,6.649166094785792325e+01,1.132622747200258750e+01
-1.197000000000000028e+02,6.649077858318497647e+01,1.132449299764943618e+01
-1.195999999999999943e+02,6.649090031882263929e+01,1.132467452789171602e+01
-1.195000000000000000e+02,6.649208164708481661e+01,1.132669961858244712e+01
-1.194000000000000057e+02,6.649435663462382706e+01,1.133051678077744739e+01
-1.192999999999999972e+02,6.649772942902656325e+01,1.133606530039342886e+01
-1.192000000000000028e+02,6.650211369336403777e+01,1.134319059442542077e+01
-1.190999999999999943e+02,6.650731285054425257e+01,1.135162477097035350e+01
-1.190000000000000000e+02,6.651310542779667401e+01,1.136106069764790760e+01
-1.189000000000000057e+02,6.651928740177021382e+01,1.137118803655204324e+01
-1.187999999999999972e+02,6.652567423264478919e+01,1.138173328395697759e+01
-1.187000000000000028e+02,6.653210535491361100e+01,1.139253718898525314e+01
-1.185999999999999943e+02,6.653844882645059045e+01,1.140355857353681834e+01
-1.185000000000000000e+02,6.654463696057891298e+01,1.141481977112848867e+01
-1.184000000000000057e+02,6.655067065546874971e+01,1.142636373253079540e+01
-1.182999999999999972e+02,6.655666412991627112e+01,1.143840014964325746e+01
-1.182000000000000028e+02,6.656287254229128791e+01,1.145141331239804394e+01
-1.180999999999999943e+02,6.656957745105447088e+01,1.146595337905577594e+01
-1.180000000000000000e+02,6.657696635833750065e+01,1.148241191639472625e+01
-1.179000000000000057e+02,6.658509088861187308e+01,1.150094609505807774e+01
-1.177999999999999972e+02,6.659392025320512687e+01,1.152157376453492788e+01
-1.177000000000000028e+02,6.660339451998095228e+01,1.154427717472139037e+01
-1.175999999999999943e+02,6.661349216222457414e+01,1.156905111297200506e+01
-1.175000000000000000e+02,6.662424945264056930e+01,1.159591857513859203e+01
-1.174000000000000057e+02,6.663565045084185101e+01,1.162486699670916934e+01
-1.172999999999999972e+02,6.664762408155517903e+01,1.165584492540576633e+01
-1.172000000000000028e+02,6.666007359219204886e+01,1.168874189115721762e+01
-1.170999999999999943e+02,6.667283622606994697e+01,1.172329850042984489e+01
-1.170000000000000000e+02,6.668571003219118154e+01,1.175911714598782076e+01
-1.169000000000000057e+02,6.669851880177493797e+01,1.179575580489816211e+01
-1.167999999999999972e+02,6.671111871617398492e+01,1.183276772395448972e+01
-1.167000000000000028e+02,6.672336299695631112e+01,1.186969730978047544e+01
-1.165999999999999943e+02,6.673511609893874663e+01,1.190616379267097891e+01
-1.165000000000000000e+02,6.674629362400180810e+01,1.194193806189232099e+01
-1.164000000000000057e+02,6.675685237945924655e+01,1.197684949322228398e+01
-1.162999999999999972e+02,6.676679426541494422e+01,1.201077481240012546e+01
-1.162000000000000028e+02,6.677623527150905147e+01,1.204383205952608904e+01
-1.160999999999999943e+02,6.678542120866079301e+01,1.207644049259455166e+01
-1.160000000000000000e+02,6.679464170501451292e+01,1.210914373832240010e+01
-1.159000000000000057e+02,6.680412644205347306e+01,1.214236903165663506e+01
-1.157999999999999972e+02,6.681400446181737607e+01,1.217630020628238618e+01
-1.157000000000000028e+02,6.682435038351532341e+01,1.221098982607289152e+01
-1.155999999999999943e+02,6.683516739928606398e+01,1.224635879642574388e+01
-1.155000000000000000e+02,6.684633340424578307e+01,1.228208601934098354e+01
-1.154000000000000057e+02,6.685764614127221250e+01,1.231773013039347120e+01
-1.152999999999999972e+02,6.686886838588182513e+01,1.235285241416035262e+01
-1.152000000000000028e+02,6.687975191616294524e+01,1.238702030116449393e+01
-1.150999999999999943e+02,6.689006541375007941e+01,1.241980076067815730e+01
-1.150000000000000000e+02,6.689959633868967614e+01,1.245075714314011073e+01
-1.149000000000000057e+02,6.690814418779523010e+01,1.247946155830993042e+01
-1.147999999999999972e+02,6.691554606389172477e+01,1.250557559258607832e+01
-1.147000000000000028e+02,6.692172600563735330e+01,1.252893552590921544e+01
-1.145999999999999943e+02,6.692667940811442406e+01,1.254949471419276108e+01
-1.145000000000000000e+02,6.693041409052334245e+01,1.256723155700141881e+01
-1.144000000000000057e+02,6.693294353993020707e+01,1.258215500927265040e+01
-1.142999999999999972e+02,6.693431111901163888e+01,1.259433536849970814e+01
-1.142000000000000028e+02,6.693466119097284661e+01,1.260402536618337521e+01
-1.140999999999999943e+02,6.693429555505740325e+01,1.261177210017022254e+01
-1.140000000000000000e+02,6.693359182231048976e+01,1.261827556342141321e+01
-1.139000000000000057e+02,6.693290552318458708e+01,1.262424205686589396e+01
-1.137999999999999972e+02,6.693253984953405222e+01,1.263034774734405374e+01
-1.137000000000000028e+02,6.693270182668254620e+01,1.263707224647748539e+01
-1.135999999999999943e+02,6.693348709622790693e+01,1.264457628269989620e+01
-1.135000000000000000e+02,6.693494810241560344e+01,1.265283236428342661e+01
-1.134000000000000057e+02,6.693712728354300623e+01,1.266174715074400758e+01
-1.132999999999999972e+02,6.694003852478248007e+01,1.267117327426645268e+01
-1.132000000000000028e+02,6.694363242859215291e+01,1.268084060796214096e+01
-1.130999999999999943e+02,6.694777887623494905e+01,1.269030624076924063e+01
-1.130000000000000000e+02,6.695233381967342723e+01,1.269906559806021384e+01
-1.129000000000000057e+02,6.695720440065808532e+01,1.270674287183163464e+01
-1.127999999999999972e+02,6.696234355765602686e+01,1.271318449428079944e+01
-1.127000000000000028e+02,6.696771893179283097e+01,1.271835243563206497e+01
-1.125999999999999943e+02,6.697330579941188944e+01,1.272225517971601860e+01
-1.125000000000000000e+02,6.697909674463380725e+01,1.272498194491210199e+01
-1.124000000000000057e+02,6.698510276283953147e+01,1.272667444305259998e+01
-1.122999999999999972e+02,6.699134118820613537e+01,1.272747439785493917e+01
-1.122000000000000028e+02,6.699779657763555463e+01,1.272749686569363980e+01
-1.120999999999999943e+02,6.700439892579905177e+01,1.272683036084571029e+01
-1.120000000000000000e+02,6.701099320122490610e+01,1.272537756248773277e+01
-1.119000000000000057e+02,6.701735278658522077e+01,1.272276884889834569e+01
-1.117999999999999972e+02,6.702330381121976188e+01,1.271860573988501386e+01
-1.117000000000000028e+02,6.702883666937266582e+01,1.271278510585087673e+01
-1.115999999999999943e+02,6.703407481254548372e+01,1.270555873880064013e+01
-1.115000000000000000e+02,6.703903607566820710e+01,1.269704368890107915e+01
-1.114000000000000057e+02,6.704356497805662229e+01,1.268700212449051534e+01
-1.112999999999999972e+02,6.704751970091034252e+01,1.267516845427819838e+01
-1.112000000000000028e+02,6.705081294487234800e+01,1.266136186602537705e+01
-1.110999999999999943e+02,6.705336201138447905e+01,1.264542660814753283e+01
-1.110000000000000000e+02,6.705507896119968336e+01,1.262721497319561337e+01
-1.109000000000000057e+02,6.705585192536882744e+01,1.260657538413744128e+01
-1.107999999999999972e+02,6.705550431745074036e+01,1.258332463015624647e+01
-1.107000000000000028e+02,6.705396717997263067e+01,1.255771552615421349e+01
-1.105999999999999943e+02,6.705138881555643593e+01,1.253061039433748114e+01
-1.105000000000000000e+02,6.704787625250337157e+01,1.250267352529230713e+01
-1.104000000000000057e+02,6.704345024032515710e+01,1.247420944694972711e+01
-1.102999999999999972e+02,6.703815805026800945e+01,1.244550412525527960e+01
-1.102000000000000028e+02,6.703205979528398473e+01,1.241683483091017948e+01
-1.100999999999999943e+02,6.702526117252426729e+01,1.238852597215595708e+01
-1.100000000000000000e+02,6.701793525656755435e+01,1.236098952987406641e+01
-1.099000000000000057e+02,6.701027544051427753e+01,1.233465074099728298e+01
-1.097999999999999972e+02,6.700247272591575154e+01,1.230989723823724624e+01
-1.097000000000000028e+02,6.699467916254154431e+01,1.228699578973147943e+01
-1.095999999999999943e+02,6.698694174845338978e+01,1.226599190834498643e+01
-1.095000000000000000e+02,6.697922042650655783e+01,1.224677333282413194e+01
-1.094000000000000057e+02,6.697140788212307427e+01,1.222907952405325815e+01
-1.092999999999999972e+02,6.696332974060440790e+01,1.221248411296157066e+01
-1.092000000000000028e+02,6.695480270283211155e+01,1.219654207147435443e+01
-1.090999999999999943e+02,6.694567053444328053e+01,1.218087243241647677e+01
-1.090000000000000000e+02,6.693585353576703767e+01,1.216522871289945407e+01
-1.089000000000000057e+02,6.692540120454424368e+01,1.214956758487639021e+01
-1.087999999999999972e+02,6.691442168158702941e+01,1.213392013509626466e+01
-1.087000000000000028e+02,6.690300536078640903e+01,1.211826335166502311e+01
-1.085999999999999943e+02,6.689122866980592619e+01,1.210250699608092795e+01
-1.085000000000000000e+02,6.687916472548138813e+01,1.208650904278451499e+01
-1.084000000000000057e+02,6.686686965878909916e+01,1.207013924602275878e+01
-1.082999999999999972e+02,6.685438387761261936e+01,1.205336027594339399e+01
-1.082000000000000028e+02,6.684175691626444404e+01,1.203620019162799792e+01
-1.080999999999999943e+02,6.682906079045227443e+01,1.201869427143890157e+01
-1.080000000000000000e+02,6.681637396633681192e+01,1.200087152492277909e+01
-1.079000000000000057e+02,6.680374688276565109e+01,1.198274487295130442e+01
-1.077999999999999972e+02,6.679119963393569037e+01,1.196432027117192831e+01
-1.077000000000000028e+02,6.677874606789339396e+01,1.194561424992219223e+01
-1.075999999999999943e+02,6.676640048497456803e+01,1.192665816038775262e+01
-1.075000000000000000e+02,6.675416883758342124e+01,1.190748562414614931e+01
-1.074000000000000057e+02,6.674203291042435637e+01,1.188811614061831357e+01
-1.072999999999999972e+02,6.672995095437957502e+01,1.186858365386738789e+01
-1.072000000000000028e+02,6.671785363594983664e+01,1.184890938844683994e+01
-1.070999999999999943e+02,6.670562791505659561e+01,1.182900330395396793e+01
-1.070000000000000000e+02,6.669316771843939762e+01,1.180871975181740474e+01
-1.069000000000000057e+02,6.668043957408370659e+01,1.178795028311649595e+01
-1.067999999999999972e+02,6.666747611066283241e+01,1.176659841593218481e+01
-1.067000000000000028e+02,6.665433745047585035e+01,1.174455865136012456e+01
-1.065999999999999943e+02,6.664114115159085827e+01,1.172187218962151967e+01
-1.065000000000000000e+02,6.662812156330183200e+01,1.169887862777478738e+01
-1.064000000000000057e+02,6.661558106029441717e+01,1.167609841556295791e+01
-1.062999999999999972e+02,6.660381438257671505e+01,1.165409518685453527e+01
-1.062000000000000028e+02,6.659306317034982214e+01,1.163333063272291668e+01
