Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-1.200000000000000000e+02,1.157998715527824629e+02,1.828828925644488024e+01
-1.199000000000000057e+02,1.157638858971976532e+02,1.825613262231957279e+01
-1.197999999999999972e+02,1.157319923304939522e+02,1.823306556541822943e+01
-1.197000000000000028e+02,1.156973374422991014e+02,1.822960275385856477e+01
-1.195999999999999943e+02,1.156619023228104197e+02,1.823409435488182595e+01
-1.195000000000000000e+02,1.156567288171677603e+02,1.825609067298429977e+01
-1.194000000000000057e+02,1.156420757423183119e+02,1.829337094078522341e+01
-1.192999999999999972e+02,1.156197277531503858e+02,1.833593123771962752e+01
-1.192000000000000028e+02,1.155761598682944111e+02,1.837043244929301622e+01
-1.190999999999999943e+02,1.155614968959300626e+02,1.838894896765358666e+01
-1.190000000000000000e+02,1.155416334338886628e+02,1.840578326214175320e+01
-1.189000000000000057e+02,1.155168729078682617e+02,1.840060665833439657e+01
-1.187999999999999972e+02,1.154941951815973482e+02,1.840214608448103206e+01
-1.187000000000000028e+02,1.154999702101149666e+02,1.838451080732264842e+01
-1.185999999999999943e+02,1.155337226323911324e+02,1.834486550770770563e+01
-1.185000000000000000e+02,1.155780359421847407e+02,1.830199376331710681e+01
-1.184000000000000057e+02,1.156007313764866495e+02,1.826639818404908766e+01
-1.182999999999999972e+02,1.154149362868790689e+02,1.822994510828076287e+01
-1.182000000000000028e+02,1.152121609177341099e+02,1.827091130729003510e+01
-1.180999999999999943e+02,1.150316619932271038e+02,1.847245716218884581e+01
-1.180000000000000000e+02,1.148755482400089818e+02,1.880181709659673928e+01
-1.179000000000000057e+02,1.147151477023128052e+02,1.919492820811538181e+01
-1.177999999999999972e+02,1.149385175530854468e+02,1.904862414444496110e+01
-1.177000000000000028e+02,1.151729994600071052e+02,1.893572770331560307e+01
-1.175999999999999943e+02,1.153637059774530940e+02,1.887413321037613301e+01
-1.175000000000000000e+02,1.155384300559351232e+02,1.888294428514898726e+01
-1.174000000000000057e+02,1.157131931337519291e+02,1.896551877149254395e+01
-1.172999999999999972e+02,1.159472283351143602e+02,1.911219327827831194e+01
-1.172000000000000028e+02,1.160053837166972954e+02,1.926244838975853924e+01
-1.170999999999999943e+02,1.159550712962779784e+02,1.942050847388852119e+01
-1.170000000000000000e+02,1.158302301102662568e+02,1.946097464807029453e+01
-1.169000000000000057e+02,1.156155620157257715e+02,1.931068389392246587e+01
-1.167999999999999972e+02,1.154047758002827777e+02,1.921611748298753497e+01
-1.167000000000000028e+02,1.152020922045753650e+02,1.917061129682008058e+01
-1.165999999999999943e+02,1.150001870997352853e+02,1.920460083778764826e+01
-1.165000000000000000e+02,1.148089545652168084e+02,1.931636027906820630e+01
-1.164000000000000057e+02,1.148097083019463724e+02,1.964018950908590355e+01
-1.162999999999999972e+02,1.151524512780635661e+02,1.946716763017073859e+01
-1.162000000000000028e+02,1.154671667363342209e+02,1.932141651706909258e+01
-1.160999999999999943e+02,1.157677439920328482e+02,1.922691125825430447e+01
-1.160000000000000000e+02,1.160172144912041290e+02,1.920210429669504748e+01
-1.159000000000000057e+02,1.161625084733618110e+02,1.905972604864327380e+01
-1.157999999999999972e+02,1.163297405124044985e+02,1.896835349886366728e+01
-1.157000000000000028e+02,1.164889583111251170e+02,1.893737582252435203e+01
-1.155999999999999943e+02,1.164905213891994862e+02,1.896676911463666571e+01
-1.155000000000000000e+02,1.165020363989357719e+02,1.900251010111918859e+01
-1.154000000000000057e+02,1.164516192395495295e+02,1.896614958036741783e+01
-1.152999999999999972e+02,1.163572744160083516e+02,1.883786528508584013e+01
-1.152000000000000028e+02,1.162842940950595505e+02,1.873723583931460723e+01
-1.150999999999999943e+02,1.162301800379093066e+02,1.866664461003334452e+01
-1.150000000000000000e+02,1.161687126758172894e+02,1.864270860788347406e+01
-1.149000000000000057e+02,1.161621860702921509e+02,1.865839152251542998e+01
-1.147999999999999972e+02,1.163145835671522121e+02,1.887365875667246229e+01
-1.147000000000000028e+02,1.164425908169800010e+02,1.910916375475867213e+01
