Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.200000000000000000e+02,5.912448381862488134e+01,7.056728892344223070e+00,6.352219689983633089e+01,1.109529710010286863e+01
-1.199000000000000057e+02,5.909567627811167512e+01,7.048419782725005689e+00,6.348331993818703722e+01,1.111526124809052796e+01
-1.197999999999999972e+02,5.907830683331705046e+01,7.046422366234970092e+00,6.347219281696566640e+01,1.113571799463370482e+01
-1.197000000000000028e+02,5.907338630175093641e+01,7.059370774863112707e+00,6.347576106483112568e+01,1.113294763347938776e+01
-1.195999999999999943e+02,5.905564686699335653e+01,7.072546848931912322e+00,6.351720651534458995e+01,1.112581521978712829e+01
-1.195000000000000000e+02,5.903598901600993543e+01,7.084480806332868141e+00,6.354814913618751859e+01,1.112892879568191340e+01
-1.194000000000000057e+02,5.901222023094364033e+01,7.096329855691290156e+00,6.357702545632203339e+01,1.114605038502897649e+01
-1.192999999999999972e+02,5.899051889194996789e+01,7.098492256439189241e+00,6.362147615601211470e+01,1.117631527288653537e+01
-1.192000000000000028e+02,5.896676216235692891e+01,7.097352951226261197e+00,6.369275811034587775e+01,1.123475506423976711e+01
-1.190999999999999943e+02,5.894672210018159575e+01,7.089917438862188170e+00,6.376594477450294107e+01,1.129010173772889480e+01
-1.190000000000000000e+02,5.893226541482295033e+01,7.071784242174581792e+00,6.383136467900833821e+01,1.135050488844994021e+01
-1.189000000000000057e+02,5.891630207925659590e+01,7.051045163186994813e+00,6.390814362125177439e+01,1.142474273622238279e+01
-1.187999999999999972e+02,5.889771848453045777e+01,7.025884920651161103e+00,6.400192441444488622e+01,1.149463791330316020e+01
-1.187000000000000028e+02,5.888726946730338341e+01,7.003009126678383822e+00,6.407204869384158030e+01,1.154921645245687678e+01
-1.185999999999999943e+02,5.887651284032961740e+01,6.983936989436101861e+00,6.409342112551752280e+01,1.156442186756800972e+01
-1.185000000000000000e+02,5.886437047195293104e+01,6.963104082498768221e+00,6.413105352863487951e+01,1.159213078505340100e+01
-1.184000000000000057e+02,5.885533966699824049e+01,6.958265164532844160e+00,6.414435012527432889e+01,1.158348656605639526e+01
-1.182999999999999972e+02,5.885690498916762436e+01,6.969113495780137946e+00,6.414368478972242826e+01,1.157170892438075605e+01
-1.182000000000000028e+02,5.884043075291668856e+01,6.992769238131566922e+00,6.414333070656691405e+01,1.155263995650291342e+01
-1.180999999999999943e+02,5.881945888069557782e+01,7.016423301602530138e+00,6.421365935295182226e+01,1.155895056176091984e+01
-1.180000000000000000e+02,5.881857938244467476e+01,7.046013489915149641e+00,6.429137601867337537e+01,1.158621466710580172e+01
-1.179000000000000057e+02,5.880968181635683578e+01,7.067640307390977483e+00,6.430360077675821628e+01,1.157111739771829306e+01
-1.177999999999999972e+02,5.879281214561497393e+01,7.088501456011001345e+00,6.427559941562677182e+01,1.153440130307413725e+01
-1.177000000000000028e+02,5.877348990055452305e+01,7.117089451543148648e+00,6.424969642678041737e+01,1.151599303143290953e+01
-1.175999999999999943e+02,5.875719255569713795e+01,7.148224211215977952e+00,6.422054231252693057e+01,1.150527232865693961e+01
-1.175000000000000000e+02,5.873722569109019531e+01,7.175467118833831037e+00,6.412711622685928603e+01,1.144691242299243683e+01
-1.174000000000000057e+02,5.871114106276565536e+01,7.207340253019361320e+00,6.401438611899700959e+01,1.140627655489029380e+01
-1.172999999999999972e+02,5.868052621766386068e+01,7.238121645194047993e+00,6.394321838595841712e+01,1.134621516385971773e+01
-1.172000000000000028e+02,5.865559480038758267e+01,7.271521004737922844e+00,6.388199737508553255e+01,1.130386305434714345e+01
-1.170999999999999943e+02,5.863829361672068785e+01,7.295383501826835371e+00,6.384941662491036141e+01,1.129867193134580283e+01
-1.170000000000000000e+02,5.866264214110364605e+01,7.295780564357746023e+00,6.386982042349669797e+01,1.135570566080761168e+01
-1.169000000000000057e+02,5.869056889422366652e+01,7.302733724922997105e+00,6.392753881481052503e+01,1.144124032030426186e+01
-1.167999999999999972e+02,5.871754019826388316e+01,7.311769580347637465e+00,6.398205294365919116e+01,1.155330376981419249e+01
-1.167000000000000028e+02,5.874186530765657466e+01,7.321561619676970167e+00,6.403462763942049207e+01,1.168466197957998531e+01
