Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.200000000000000000e+02,6.483649625527993976e+01,1.044870450427709230e+01,6.700124083068406833e+01,1.154500627708059213e+01
-1.199000000000000057e+02,6.483495179914123696e+01,1.044913148625233745e+01,6.699824172421308788e+01,1.153752459768315397e+01
-1.197999999999999972e+02,6.483422049329028880e+01,1.045030041044060098e+01,6.699609934707416414e+01,1.153248552239215741e+01
-1.197000000000000028e+02,6.483427944879522897e+01,1.045214577933360189e+01,6.699493049365140962e+01,1.152980819963512005e+01
-1.195999999999999943e+02,6.483508945366300225e+01,1.045457820384955205e+01,6.699484275604513073e+01,1.152940881633931092e+01
-1.195000000000000000e+02,6.483659875952228901e+01,1.045750470697987389e+01,6.699592426503865283e+01,1.153121436655441379e+01
-1.194000000000000057e+02,6.483874001078558535e+01,1.046084703083670320e+01,6.699823995492242545e+01,1.153517483201704863e+01
-1.192999999999999972e+02,6.484142175573791178e+01,1.046455483409725318e+01,6.700182306872309823e+01,1.154122085850117507e+01
-1.192000000000000028e+02,6.484453976551225196e+01,1.046859307115350113e+01,6.700659271488413538e+01,1.154916289347681690e+01
-1.190999999999999943e+02,6.484800410525737391e+01,1.047293078665254207e+01,6.701231985997942786e+01,1.155867210098777420e+01
-1.190000000000000000e+02,6.485176659748940153e+01,1.047754524709913149e+01,6.701873028919455066e+01,1.156937091589509059e+01
-1.189000000000000057e+02,6.485582026043653059e+01,1.048242171183032134e+01,6.702556001000219510e+01,1.158087691133370889e+01
-1.187999999999999972e+02,6.486017402687772915e+01,1.048754938759474520e+01,6.703256559961737082e+01,1.159285368520946768e+01
-1.187000000000000028e+02,6.486484197767423154e+01,1.049291819635179479e+01,6.703953333929079861e+01,1.160511000509256796e+01
-1.185999999999999943e+02,6.486984921414826033e+01,1.049851825722440246e+01,6.704628349106435792e+01,1.161760482552418772e+01
-1.185000000000000000e+02,6.487523305210791591e+01,1.050434120408071514e+01,6.705271641098315172e+01,1.163037501486775405e+01
-1.184000000000000057e+02,6.488103427183230565e+01,1.051037739360423018e+01,6.705882085918419477e+01,1.164348041440896608e+01
-1.182999999999999972e+02,6.488728382790178273e+01,1.051661651362252670e+01,6.706473639574676326e+01,1.165718737846212072e+01
-1.182000000000000028e+02,6.489398741995817943e+01,1.052306253292097971e+01,6.707079410126225127e+01,1.167210015759671116e+01
-1.180999999999999943e+02,6.490111756781332986e+01,1.052974014674168934e+01,6.707736958943220884e+01,1.168889790888147751e+01
-1.180000000000000000e+02,6.490861695227259531e+01,1.053667875376869212e+01,6.708472487322681843e+01,1.170805881862697895e+01
-1.179000000000000057e+02,6.491640967525646033e+01,1.054390174431896021e+01,6.709295038832874525e+01,1.172976910759067160e+01
-1.177999999999999972e+02,6.492441456105700581e+01,1.055143001177776618e+01,6.710203068125021275e+01,1.175404155421452579e+01
-1.177000000000000028e+02,6.493254350486748194e+01,1.055928004894160743e+01,6.711191439414592708e+01,1.178084567367788971e+01
-1.175999999999999943e+02,6.494068441732235897e+01,1.056744228758450355e+01,6.712260756284698004e+01,1.181017043018515267e+01
-1.175000000000000000e+02,6.494869895548752936e+01,1.057586812395884124e+01,6.713419960394803354e+01,1.184204650557266447e+01
-1.174000000000000057e+02,6.495644068715550645e+01,1.058448981097950181e+01,6.714671429196378938e+01,1.187646651277381338e+01
-1.172999999999999972e+02,6.496376335113460243e+01,1.059323629845902914e+01,6.716010343429188367e+01,1.191337707225451581e+01
-1.172000000000000028e+02,6.497052979512589843e+01,1.060204250757761635e+01,6.717428257390781710e+01,1.195264954209593355e+01
-1.170999999999999943e+02,6.497664586529639053e+01,1.061084266480715854e+01,6.718906807500101763e+01,1.199397155263016757e+01
-1.170000000000000000e+02,6.498207576783282491e+01,1.061954192439110045e+01,6.720420741699589939e+01,1.203686816389118697e+01
-1.169000000000000057e+02,6.498681835078711799e+01,1.062802927296687905e+01,6.721947111294512922e+01,1.208081334991326727e+01
-1.167999999999999972e+02,6.499088607801533612e+01,1.063620660550011010e+01,6.723466777996138433e+01,1.212527137835515312e+01
-1.167000000000000028e+02,6.499429677470801892e+01,1.064398355769175097e+01,6.724960054285799060e+01,1.216969460867674968e+01
-1.165999999999999943e+02,6.499706974736808718e+01,1.065126855810425788e+01,6.726408672767765040e+01,1.221363131971143190e+01
-1.165000000000000000e+02,6.499922752361439393e+01,1.065797038016356169e+01,6.727800939368491129e+01,1.225682052176491688e+01
