Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.200000000000000000e+02,1.158666870224166985e+02,1.723963980102710636e+01,1.233402690914338677e+02,1.992286002173548098e+01
-1.199000000000000057e+02,1.158273653628814657e+02,1.724765579654711090e+01,1.233662759982747161e+02,1.990429246936755092e+01
-1.197999999999999972e+02,1.157788769647151099e+02,1.728591872264844653e+01,1.233892009268164571e+02,1.989421367981531574e+01
-1.197000000000000028e+02,1.157282433457920661e+02,1.733744787855485470e+01,1.234051471849640080e+02,1.990985619993398714e+01
-1.195999999999999943e+02,1.156801145863047395e+02,1.738905341665496707e+01,1.234253830809138890e+02,1.993286475515648704e+01
-1.195000000000000000e+02,1.156280096521720395e+02,1.744608879266557722e+01,1.234274649666455161e+02,1.995013819141372835e+01
-1.194000000000000057e+02,1.155343272911890153e+02,1.752606886036727118e+01,1.234287058675565874e+02,1.995920526609050327e+01
-1.192999999999999972e+02,1.154336550948358564e+02,1.760482996115987930e+01,1.234249674199260056e+02,1.997072666889955528e+01
-1.192000000000000028e+02,1.153054450448926218e+02,1.765448173920530550e+01,1.234152669946614225e+02,1.998877090801739698e+01
-1.190999999999999943e+02,1.152090113215485587e+02,1.768934762177069331e+01,1.233907489738864172e+02,2.000802980470542636e+01
-1.190000000000000000e+02,1.151485203483736512e+02,1.772362749694938699e+01,1.233644503705428690e+02,2.004529107952251721e+01
-1.189000000000000057e+02,1.150958721421412321e+02,1.774718822574233101e+01,1.233428095353717140e+02,2.009781182844129432e+01
-1.187999999999999972e+02,1.150436367131161859e+02,1.777421632563715903e+01,1.233035860850316539e+02,2.017997227145877304e+01
-1.187000000000000028e+02,1.149888130258648147e+02,1.780093623884013354e+01,1.232952737185768370e+02,2.026827088567105406e+01
-1.185999999999999943e+02,1.149802475225009886e+02,1.779286881671691845e+01,1.233457427663061736e+02,2.036752483453724238e+01
-1.185000000000000000e+02,1.149945813621232986e+02,1.776953170910020319e+01,1.234796775338397197e+02,2.045878876782731126e+01
-1.184000000000000057e+02,1.149874046154839391e+02,1.772430560137278022e+01,1.235736217505433672e+02,2.051176569286982954e+01
-1.182999999999999972e+02,1.149577086955983987e+02,1.767980731331959277e+01,1.236138891501790198e+02,2.051319224918007222e+01
